endTime,artistName,trackName,msPlayed
2024-01-01 13:01,Talha Anjum,Downers At Dusk,1677
2024-01-01 13:05,AUR,Tu hai kahan,263184
2024-01-01 13:08,Seedhe Maut,Khatta Flow,152415
2024-01-01 13:11,Rashid Ali,Kabhi Kabhi Aditi,218836
2024-01-01 13:15,Anuv Jain,Husn,217894
2024-01-01 13:20,Atif Aslam,Woh Lamhe Woh Baatein,320040
2024-01-01 13:21,Irshad Khan,Haryana Hood,49741
2024-01-01 17:24,AUR,Tu hai kahan,263184
2024-01-01 17:27,Seedhe Maut,Khatta Flow,152415
2024-01-01 17:32,Atif Aslam,Woh Lamhe Woh Baatein,320040
2024-01-01 17:36,Rashid Ali,Kabhi Kabhi Aditi,218836
2024-01-01 17:39,Anuv Jain,Husn,217894
2024-01-01 17:43,Vishal Mishra,Manjha,191647
2024-01-01 17:46,Irshad Khan,Haryana Hood,211480
2024-01-01 17:49,Anubha Bajaj,Lamhey,148966
2024-01-01 17:53,King,Tu Aake Dekhle,270000
2024-01-01 17:56,Kidjaywest,Funk Song,172352
2024-01-01 18:00,Anuv Jain,Alag Aasmaan,212750
2024-01-01 18:03,Manan Bhardwaj,Arjan Vailly,182170
2024-01-01 18:07,Aditya Rikhari,Nasamajh,249538
2024-01-01 18:07,Asim Azhar,Jo Tu Na Mila,13815
2024-01-01 20:16,Param Singh,Daru Badnaam,19931
2024-01-01 20:57,Param Singh,Daru Badnaam,37740
2024-01-01 21:07,Irshad Khan,Haryana Hood,11960
2024-01-02 12:35,Drake,God's Plan,198973
2024-01-02 12:38,Russ,"Psycho, Pt. 2",161985
2024-01-02 12:40,XXXTENTACION,Jocelyn Flores,119133
2024-01-02 12:41,The Weeknd,Starboy,82807
2024-01-02 12:43,Gurinder Gill,WAKE UP,153174
2024-01-02 12:44,Satinder Sartaaj,Udaarian,3644
2024-01-02 12:44,AP Dhillon,Foreigns,27661
2024-01-02 12:46,Gurinder Gill,NETWORK,103566
2024-01-02 12:49,Gurinder Gill,BREATHE,169862
2024-01-02 12:52,Talha Anjum,Downers At Dusk,193645
2024-01-02 12:55,AUR,Tu hai kahan,182221
2024-01-02 12:57,Jokhay,Me & You,113191
2024-01-02 12:59,Talha Anjum,Happy Hour,137314
2024-01-02 12:59,Surf Curse,Freaks,18308
2024-01-02 13:02,Harrdy Sandhu,Bijlee Bijlee,168450
2024-01-02 13:06,Sharn,Mi Amor,203048
2024-01-02 13:20,Satinder Sartaaj,Udaarian,252361
2024-01-03 08:15,AUR,Tu hai kahan,263184
2024-01-03 08:19,Talha Anjum,Downers At Dusk,256000
2024-01-03 08:22,CKay,love nwantiti (ah ah ah),145800
2024-01-03 08:28,Atif Aslam,Woh Lamhe Woh Baatein,320040
2024-01-03 08:32,OneRepublic,Counting Stars,257266
2024-01-03 08:38,Satinder Sartaaj,Udaarian,342585
2024-01-03 08:39,hazel,hotline bling (billie version),72972
2024-01-03 08:51,AP Dhillon,TERE TE,26050
2024-01-03 09:20,Intense,Sahiba,236897
2024-01-03 09:24,Hasan Raheem,Wishes,218400
2024-01-03 09:27,Panjabi MC,Dhol Jageero Da,149980
2024-01-03 09:29,The World's Favorite Premi Jori,Naag 2,143980
2024-01-03 09:31,Raju Punjabi,Laad Piya Ke,109050
2024-01-03 09:43,Raju Punjabi,Mithi Boli,92983
2024-01-03 18:06,Hasan Raheem,Wishes,218400
2024-01-03 18:09,Sharn,Mi Amor,203048
2024-01-03 18:11,Seedhe Maut,Khatta Flow,152415
2024-01-03 18:14,Karan Aujla,Softly,155161
